dataset,led,red,green,blue,grey
28c,off,51.94,134.58,169.52,113.8538
28c,on,56.82,122.31,238.51,115.97529
31c,off,0.69,84.42,194.02,71.87913
31c,on,26.33,123.63,248.42,108.76336
34c,off,20.09,90.34,170.38,78.45981
34c,on,43.16,105.01,243.26,102.27735
37c,off,1.45,117.71,220.59,94.67658
37c,on,99.25,201.77,246.59,176.226
40c,off,2.03,135.9,133.61,95.61181
40c,on,34.35,165.75,244.78,135.47082
43c,off,16.66,90.9,147,75.09764
43c,on,51.9,147.89,247.41,130.53427
500ppm,off,2.76,124.72,125.24,88.31324
500ppm,on,20.54,129.14,194.51,104.12078
1500ppm,off,3.96,100.71,171.04,79.79937
1500ppm,on,28.79,118.35,228.36,104.1127
5ppt,off,71.17,128.21,152.9,113.9697
5ppt,on,89.81,147.19,194.85,135.46662
7ppt,off,3.88,90.56,149.39,71.3493
7ppt,on,24.4,103.92,217.79,93.1247
15ppt,off,2.159,118.916,183.922,91.416341
15ppt,on,25.01,103.6,230.1,94.52259
20ppt,off,1.33,119.68,116.11,83.88637
20ppt,on,68.52,119.68,245.42,118.71752
35ppt,off,0.51,102.65,171.32,79.93852
35ppt,on,9.58,142.79,212.79,110.94021
5ph,off,49.92,136.46,185.296,139.251272
5ph,on,82.605,199.686,244.726,191.117261
5.5ph,off,4.0896,93.413,165.799,109.1958854
5.5ph,on,177.001,243.26,248.653,224.063361
6ph,off,1.342,112.684,124.209,86.157917
6ph,on,146.786,236.336,248.662,216.795912
6.5ph,off,9.563,86.108,142.211,96.153506
6.5ph,on,76.785,164.766,240.33,182.815749
7ph,off,20.56,105.14,155.67,109.51169
7ph,on,97.91,169.07,244.53,192.08818
7.5ph,off,55.337,136.546,181.338,117.370797
7.5ph,on,132.61,215.25,247.244,194.187956
8ph,off,24.161,110.125,169.24,91.160874
8ph,on,96.257,236.156,247.707,195.643013
8.5ph,off,22.415,118.81,190.591,98.170929
8.5ph,on,71.59,210.617,247.198,173.218161
9ph,off,34.558,137.22,186.621,112.155776
9ph,on,85.118,160.3722,238.589,146.7879094
10ph,off,0.395,149.53,229.33,114.035835
10ph,on,39.851,179.198,246.1423,145.1648972
0g,off,7.35,147.12,129.14,103.27905
0g,on,50.93,192.77,235.07,155.18204
2.5g,off,10.52,162.82,113.85,111.69972
2.5g,on,75.53,211.31,243.06,174.33128
5g,off,61.5,134.33,173.15,116.97931
5g,on,94.61,182.87,245.65,163.63718
7.5g,off,53.02,137.11,175.76,116.37319
7.5g,on,80.07,156.77,238.7,143.17672
10g,off,34.37,129.52,175.78,106.34379
10g,on,45.9,144.01,245.4,126.23357
12.5g,off,2.92,99.22,242.12,86.7169
12.5g,on,7.66,108.86,248.36,94.5042
15g,off,0.37,165.04,147.51,113.80525
15g,on,0.95,163.62,189.95,117.98329
30g,off,38.87,122.49,198.09,106.10602
30g,on,42.09,126.82,210.57,111.03323
